数据库类型		数据名称				描述对象	数据性质	提示词内容	数据描述	应用	可组合结构	数据来源	时效周期	应用类型标签
商业数据库	宏观数据库	人口数据			年龄结构	供给端	定量数据	"1、查询xx国家的年龄结构数据
2、查询xx地区的年龄结构数据
3、查询xx国家与xx国家的年龄结构对比数据
4、查询xx地区与xx地区的年龄结构数据"	反映宏观经济中年龄结构的统计指标数据			中国国家统计局,联合国人口司,世界银行	年	人口
商业数据库	宏观数据库	人口数据			性别比例	消费端	定量数据	"1、查询xx国家的性别比例数据
2、查询xx地区的性别比例数据
3、查询xx国家与xx国家的性别比例对比数据
4、查询xx地区与xx地区的性别比例数据"	反映宏观经济中性别比例的统计指标数据			中国国家统计局,联合国人口司,世界银行	年	人口
商业数据库	宏观数据库	人口数据			出生率	消费端	定量数据	"1、查询xx国家的出生率数据
2、查询xx地区的出生率数据
3、查询xx国家与xx国家的出生率对比数据
4、查询xx地区与xx地区的出生率数据"	反映宏观经济中出生率的统计指标数据			中国国家统计局,联合国人口司,世界银行	年	人口
商业数据库	宏观数据库	人口数据			死亡率	消费端	定量数据	"1、查询xx国家的死亡率数据
2、查询xx地区的死亡率数据
3、查询xx国家与xx国家的死亡率对比数据
4、查询xx地区与xx地区的死亡率数据"	反映宏观经济中死亡率的统计指标数据			中国国家统计局,联合国人口司,世界银行	年	人口
商业数据库	宏观数据库	人口数据			迁移数据	消费端	定量数据	"1、查询xx国家的迁移数据数据
2、查询xx地区的迁移数据数据
3、查询xx国家与xx国家的迁移数据对比数据
4、查询xx地区与xx地区的迁移数据数据"	反映宏观经济中迁移数据的统计指标数据			中国国家统计局,联合国人口司,世界银行	年	人口
商业数据库	宏观数据库	城市数据			城市总人口	供给端	定量数据	"1、查询xx国家的城市总人口数据
2、查询xx地区的城市总人口数据
3、查询xx国家与xx国家的城市总人口对比数据
4、查询xx地区与xx地区的城市总人口数据"	反映宏观经济中城市总人口的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			城市人口增长率	供给端	定量数据	"1、查询xx国家的城市人口增长率数据
2、查询xx地区的城市人口增长率数据
3、查询xx国家与xx国家的城市人口增长率对比数据
4、查询xx地区与xx地区的城市人口增长率数据"	反映宏观经济中城市人口增长率的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			城市化率	消费端	定量数据	"1、查询xx国家的城市化率数据
2、查询xx地区的城市化率数据
3、查询xx国家与xx国家的城市化率对比数据
4、查询xx地区与xx地区的城市化率数据"	反映宏观经济中城市化率的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			城市地区生产总值	消费端	定量数据	"1、查询xx国家的城市地区生产总值数据
2、查询xx地区的城市地区生产总值数据
3、查询xx国家与xx国家的城市地区生产总值对比数据
4、查询xx地区与xx地区的城市地区生产总值数据"	反映宏观经济中城市地区生产总值的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			城市失业率	消费端	定量数据	"1、查询xx国家的城市失业率数据
2、查询xx地区的城市失业率数据
3、查询xx国家与xx国家的城市失业率对比数据
4、查询xx地区与xx地区的城市失业率数据"	反映宏观经济中城市失业率的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			城市贫困率	消费端	定量数据	"1、查询xx国家的城市贫困率数据
2、查询xx地区的城市贫困率数据
3、查询xx国家与xx国家的城市贫困率对比数据
4、查询xx地区与xx地区的城市贫困率数据"	反映宏观经济中城市贫困率的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			城市房价	消费端	定量数据	"1、查询xx国家的城市房价数据
2、查询xx地区的城市房价数据
3、查询xx国家与xx国家的城市房价对比数据
4、查询xx地区与xx地区的城市房价数据"	反映宏观经济中城市房价的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			城市基础设施	供给端	定量数据	"1、查询xx国家的城市基础设施数据
2、查询xx地区的城市基础设施数据
3、查询xx国家与xx国家的城市基础设施对比数据
4、查询xx地区与xx地区的城市基础设施数据"	反映宏观经济中城市基础设施的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			城市环境数据	消费端	定量数据	"1、查询xx国家的城市环境数据数据
2、查询xx地区的城市环境数据数据
3、查询xx国家与xx国家的城市环境数据对比数据
4、查询xx地区与xx地区的城市环境数据数据"	反映宏观经济中城市环境数据的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			产业结构	供给端	定量数据	"1、查询xx国家的产业结构数据
2、查询xx地区的产业结构数据
3、查询xx国家与xx国家的产业结构对比数据
4、查询xx地区与xx地区的产业结构数据"	反映宏观经济中产业结构的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	城市数据			国家宏观定位	供给端	定性数据	"1、查询xx国家的国家宏观定位数据
2、查询xx地区的国家宏观定位数据
3、查询xx国家与xx国家的国家宏观定位对比数据
4、查询xx地区与xx地区的国家宏观定位数据"	反映宏观经济中国家宏观定位的统计指标数据			中国国家统计局,住建部,联合国人居署UN-Habitat	年	城市
商业数据库	宏观数据库	产业数据			产业规模	供给端	定量数据	"1、查询xx国家的产业规模数据
2、查询xx地区的产业规模数据
3、查询xx国家与xx国家的产业规模对比数据
4、查询xx地区与xx地区的产业规模数据"	反映宏观经济中产业规模的统计指标数据			中国国家统计局,工信部,世界银行,OECD	年/季	产业
商业数据库	宏观数据库	产业数据			产业增长	供给端	定量数据	"1、查询xx国家的产业增长数据
2、查询xx地区的产业增长数据
3、查询xx国家与xx国家的产业增长对比数据
4、查询xx地区与xx地区的产业增长数据"	反映宏观经济中产业增长的统计指标数据			中国国家统计局,工信部,世界银行,OECD	年/季	产业
商业数据库	宏观数据库	产业数据			产业结构	供给端	定性/定量	"1、查询xx国家的产业结构数据
2、查询xx地区的产业结构数据
3、查询xx国家与xx国家的产业结构对比数据
4、查询xx地区与xx地区的产业结构数据"	反映宏观经济中产业结构的统计指标数据			中国国家统计局,工信部,世界银行,OECD	年/季	产业
商业数据库	宏观数据库	产业数据			就业情况	供给端	定性/定量	"1、查询xx国家的就业情况数据
2、查询xx地区的就业情况数据
3、查询xx国家与xx国家的就业情况对比数据
4、查询xx地区与xx地区的就业情况数据"	反映宏观经济中就业情况的统计指标数据			中国国家统计局,工信部,世界银行,OECD	年/季	产业
商业数据库	宏观数据库	产业数据			产业政策	供给端	定性数据	"1、查询xx国家的产业政策数据
2、查询xx地区的产业政策数据
3、查询xx国家与xx国家的产业政策对比数据
4、查询xx地区与xx地区的产业政策数据"	反映宏观经济中产业政策的统计指标数据			中国国家统计局,工信部,世界银行,OECD	年/季	产业
商业数据库	宏观数据库	政府财政数据			政府预算余额	消费端	定量数据	"1、查询xx国家的政府预算余额数据
2、查询xx地区的政府预算余额数据
3、查询xx国家与xx国家的政府预算余额对比数据
4、查询xx地区与xx地区的政府预算余额数据"	反映宏观经济中政府预算余额的统计指标数据			中国财政部,世界银行,IMF财政监测	年/季	财政
商业数据库	宏观数据库	政府财政数据			公共债务	供给端	定量数据	"1、查询xx国家的公共债务数据
2、查询xx地区的公共债务数据
3、查询xx国家与xx国家的公共债务对比数据
4、查询xx地区与xx地区的公共债务数据"	反映宏观经济中公共债务的统计指标数据			中国财政部,世界银行,IMF财政监测	年/季	财政
商业数据库	宏观数据库	政府财政数据			政府支出	供给端	定量数据	"1、查询xx国家的政府支出数据
2、查询xx地区的政府支出数据
3、查询xx国家与xx国家的政府支出对比数据
4、查询xx地区与xx地区的政府支出数据"	反映宏观经济中政府支出的统计指标数据			中国财政部,世界银行,IMF财政监测	年/季	财政
商业数据库	宏观数据库	政府财政数据			政府收入	供给/消费	定量数据	"1、查询xx国家的政府收入数据
2、查询xx地区的政府收入数据
3、查询xx国家与xx国家的政府收入对比数据
4、查询xx地区与xx地区的政府收入数据"	反映宏观经济中政府收入的统计指标数据			中国财政部,世界银行,IMF财政监测	年/季	财政
商业数据库	宏观数据库	生产和业务活动数据			工业生产指数	供给端	定量数据	"1、查询xx国家的工业生产指数数据
2、查询xx地区的工业生产指数数据
3、查询xx国家与xx国家的工业生产指数对比数据
4、查询xx地区与xx地区的工业生产指数数据"	反映宏观经济中工业生产指数的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,工信部,Markit/标普全球	月	生产
商业数据库	宏观数据库	生产和业务活动数据			制造业采购经理指数	供给/消费	定量数据	"1、查询xx国家的制造业采购经理指数数据
2、查询xx地区的制造业采购经理指数数据
3、查询xx国家与xx国家的制造业采购经理指数对比数据
4、查询xx地区与xx地区的制造业采购经理指数数据"	反映宏观经济中制造业采购经理指数的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,工信部,Markit/标普全球	月	生产
商业数据库	宏观数据库	生产和业务活动数据			劳动生产率	供给端	定量数据	"1、查询xx国家的劳动生产率数据
2、查询xx地区的劳动生产率数据
3、查询xx国家与xx国家的劳动生产率对比数据
4、查询xx地区与xx地区的劳动生产率数据"	反映宏观经济中劳动生产率的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,工信部,Markit/标普全球	月	生产
商业数据库	宏观数据库	生产和业务活动数据			产能利用率	供给端	定量数据	"1、查询xx国家的产能利用率数据
2、查询xx地区的产能利用率数据
3、查询xx国家与xx国家的产能利用率对比数据
4、查询xx地区与xx地区的产能利用率数据"	反映宏观经济中产能利用率的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,工信部,Markit/标普全球	月	生产
商业数据库	宏观数据库	生产和业务活动数据			生产者物价指数	供给端	定量数据	"1、查询xx国家的生产者物价指数数据
2、查询xx地区的生产者物价指数数据
3、查询xx国家与xx国家的生产者物价指数对比数据
4、查询xx地区与xx地区的生产者物价指数数据"	反映宏观经济中生产者物价指数的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,工信部,Markit/标普全球	月	生产
商业数据库	宏观数据库	价格和通胀数据			cpi消费者物价指数	消费端	定量数据	"1、查询xx国家的cpi消费者物价指数数据
2、查询xx地区的cpi消费者物价指数数据
3、查询xx国家与xx国家的cpi消费者物价指数对比数据
4、查询xx地区与xx地区的cpi消费者物价指数数据"	反映宏观经济中cpi消费者物价指数的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,美国劳工统计局BLS,世界银行	月	价格
商业数据库	宏观数据库	价格和通胀数据			生产者物价指数	供给端	定量数据	"1、查询xx国家的生产者物价指数数据
2、查询xx地区的生产者物价指数数据
3、查询xx国家与xx国家的生产者物价指数对比数据
4、查询xx地区与xx地区的生产者物价指数数据"	反映宏观经济中生产者物价指数的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,美国劳工统计局BLS,世界银行	月	价格
商业数据库	宏观数据库	价格和通胀数据			核心CPI	消费端	定量数据	"1、查询xx国家的核心CPI数据
2、查询xx地区的核心CPI数据
3、查询xx国家与xx国家的核心CPI对比数据
4、查询xx地区与xx地区的核心CPI数据"	反映宏观经济中核心CPI的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,美国劳工统计局BLS,世界银行	月	价格
商业数据库	宏观数据库	价格和通胀数据			通货膨胀率	消费端	定量数据	"1、查询xx国家的通货膨胀率数据
2、查询xx地区的通货膨胀率数据
3、查询xx国家与xx国家的通货膨胀率对比数据
4、查询xx地区与xx地区的通货膨胀率数据"	反映宏观经济中通货膨胀率的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,美国劳工统计局BLS,世界银行	月	价格
商业数据库	宏观数据库	货币和金融指标			利率	消费端	定量数据	"1、查询xx国家的利率数据
2、查询xx地区的利率数据
3、查询xx国家与xx国家的利率对比数据
4、查询xx地区与xx地区的利率数据"	反映宏观经济中利率的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国人民银行,美联储,世界银行,BIS国际清算银行	日/月	金融
商业数据库	宏观数据库	货币和金融指标			货币供应量	供给端	定量数据	"1、查询xx国家的货币供应量数据
2、查询xx地区的货币供应量数据
3、查询xx国家与xx国家的货币供应量对比数据
4、查询xx地区与xx地区的货币供应量数据"	反映宏观经济中货币供应量的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国人民银行,美联储,世界银行,BIS国际清算银行	日/月	金融
商业数据库	宏观数据库	货币和金融指标			股市指数	消费端	定量数据	"1、查询xx国家的股市指数数据
2、查询xx地区的股市指数数据
3、查询xx国家与xx国家的股市指数对比数据
4、查询xx地区与xx地区的股市指数数据"	反映宏观经济中股市指数的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国人民银行,美联储,世界银行,BIS国际清算银行	日/月	金融
商业数据库	宏观数据库	货币和金融指标			债券收益率	消费端	定量数据	"1、查询xx国家的债券收益率数据
2、查询xx地区的债券收益率数据
3、查询xx国家与xx国家的债券收益率对比数据
4、查询xx地区与xx地区的债券收益率数据"	反映宏观经济中债券收益率的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国人民银行,美联储,世界银行,BIS国际清算银行	日/月	金融
商业数据库	宏观数据库	贸易和国际经济数据			出口与进口	供给/消费	定量数据	"1、查询xx国家的出口与进口数据
2、查询xx地区的出口与进口数据
3、查询xx国家与xx国家的出口与进口对比数据
4、查询xx地区与xx地区的出口与进口数据"	反映宏观经济中出口与进口的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国海关总署,WTO,联合国贸发会议UNCTAD,世界银行	月/季	贸易
商业数据库	宏观数据库	贸易和国际经济数据			贸易差额	消费端	定量数据	"1、查询xx国家的贸易差额数据
2、查询xx地区的贸易差额数据
3、查询xx国家与xx国家的贸易差额对比数据
4、查询xx地区与xx地区的贸易差额数据"	反映宏观经济中贸易差额的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国海关总署,WTO,联合国贸发会议UNCTAD,世界银行	月/季	贸易
商业数据库	宏观数据库	贸易和国际经济数据			贸易和国际经济数据	供给/消费	定量数据	"1、查询xx国家的贸易和国际经济数据数据
2、查询xx地区的贸易和国际经济数据数据
3、查询xx国家与xx国家的贸易和国际经济数据对比数据
4、查询xx地区与xx地区的贸易和国际经济数据数据"	反映宏观经济中贸易和国际经济数据的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国海关总署,WTO,联合国贸发会议UNCTAD,世界银行	月/季	贸易
商业数据库	宏观数据库	贸易和国际经济数据			外汇储备	消费端	定量数据	"1、查询xx国家的外汇储备数据
2、查询xx地区的外汇储备数据
3、查询xx国家与xx国家的外汇储备对比数据
4、查询xx地区与xx地区的外汇储备数据"	反映宏观经济中外汇储备的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国海关总署,WTO,联合国贸发会议UNCTAD,世界银行	月/季	贸易
商业数据库	宏观数据库	贸易和国际经济数据			当前账户余额	供给/消费	定量数据	"1、查询xx国家的当前账户余额数据
2、查询xx地区的当前账户余额数据
3、查询xx国家与xx国家的当前账户余额对比数据
4、查询xx地区与xx地区的当前账户余额数据"	反映宏观经济中当前账户余额的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国海关总署,WTO,联合国贸发会议UNCTAD,世界银行	月/季	贸易
商业数据库	宏观数据库	贸易和国际经济数据			外国直接投资	供给/消费	定量数据	"1、查询xx国家的外国直接投资数据
2、查询xx地区的外国直接投资数据
3、查询xx国家与xx国家的外国直接投资对比数据
4、查询xx地区与xx地区的外国直接投资数据"	反映宏观经济中外国直接投资的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国海关总署,WTO,联合国贸发会议UNCTAD,世界银行	月/季	贸易
商业数据库	宏观数据库	投资数据			固定资本形成总额	供给端	定量数据	"1、查询xx国家的固定资本形成总额数据
2、查询xx地区的固定资本形成总额数据
3、查询xx国家与xx国家的固定资本形成总额对比数据
4、查询xx地区与xx地区的固定资本形成总额数据"	反映宏观经济中固定资本形成总额的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,UNCTAD,OECD	年/季	投资
商业数据库	宏观数据库	投资数据			私人投资	供给端	定量数据	"1、查询xx国家的私人投资数据
2、查询xx地区的私人投资数据
3、查询xx国家与xx国家的私人投资对比数据
4、查询xx地区与xx地区的私人投资数据"	反映宏观经济中私人投资的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,UNCTAD,OECD	年/季	投资
商业数据库	宏观数据库	投资数据			公共投资	供给端	定量数据	"1、查询xx国家的公共投资数据
2、查询xx地区的公共投资数据
3、查询xx国家与xx国家的公共投资对比数据
4、查询xx地区与xx地区的公共投资数据"	反映宏观经济中公共投资的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,UNCTAD,OECD	年/季	投资
商业数据库	宏观数据库	投资数据			外国直接投资	供给/消费	定量数据	"1、查询xx国家的外国直接投资数据
2、查询xx地区的外国直接投资数据
3、查询xx国家与xx国家的外国直接投资对比数据
4、查询xx地区与xx地区的外国直接投资数据"	反映宏观经济中外国直接投资的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,UNCTAD,OECD	年/季	投资
商业数据库	宏观数据库	投资数据			投资率	供给端	定量数据	"1、查询xx国家的投资率数据
2、查询xx地区的投资率数据
3、查询xx国家与xx国家的投资率对比数据
4、查询xx地区与xx地区的投资率数据"	反映宏观经济中投资率的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,UNCTAD,OECD	年/季	投资
商业数据库	宏观数据库	投资数据			研发投资	供给端	定量数据	"1、查询xx国家的研发投资数据
2、查询xx地区的研发投资数据
3、查询xx国家与xx国家的研发投资对比数据
4、查询xx地区与xx地区的研发投资数据"	反映宏观经济中研发投资的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,UNCTAD,OECD	年/季	投资
商业数据库	宏观数据库	消费和销售数据			零售销售额	消费端	定量数据	"1、查询xx国家的零售销售额数据
2、查询xx地区的零售销售额数据
3、查询xx国家与xx国家的零售销售额对比数据
4、查询xx地区与xx地区的零售销售额数据"	反映宏观经济中零售销售额的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,商务部,尼尔森,欧睿Euromonitor	月/季	消费
商业数据库	宏观数据库	消费和销售数据			汽车销售	消费端	定量数据	"1、查询xx国家的汽车销售数据
2、查询xx地区的汽车销售数据
3、查询xx国家与xx国家的汽车销售对比数据
4、查询xx地区与xx地区的汽车销售数据"	反映宏观经济中汽车销售的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,商务部,尼尔森,欧睿Euromonitor	月/季	消费
商业数据库	宏观数据库	消费和销售数据			消费者信心指数	消费端	定性数据	"1、查询xx国家的消费者信心指数数据
2、查询xx地区的消费者信心指数数据
3、查询xx国家与xx国家的消费者信心指数对比数据
4、查询xx地区与xx地区的消费者信心指数数据"	反映宏观经济中消费者信心指数的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,商务部,尼尔森,欧睿Euromonitor	月/季	消费
商业数据库	宏观数据库	消费和销售数据			个人消费支出	消费端	定量数据	"1、查询xx国家的个人消费支出数据
2、查询xx地区的个人消费支出数据
3、查询xx国家与xx国家的个人消费支出对比数据
4、查询xx地区与xx地区的个人消费支出数据"	反映宏观经济中个人消费支出的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,商务部,尼尔森,欧睿Euromonitor	月/季	消费
商业数据库	宏观数据库	消费和销售数据			存货销售比率	消费端	定量数据	"1、查询xx国家的存货销售比率数据
2、查询xx地区的存货销售比率数据
3、查询xx国家与xx国家的存货销售比率对比数据
4、查询xx地区与xx地区的存货销售比率数据"	反映宏观经济中存货销售比率的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,商务部,尼尔森,欧睿Euromonitor	月/季	消费
商业数据库	宏观数据库	消费和销售数据			同比销售增长	消费端	定量数据	"1、查询xx国家的同比销售增长数据
2、查询xx地区的同比销售增长数据
3、查询xx国家与xx国家的同比销售增长对比数据
4、查询xx地区与xx地区的同比销售增长数据"	反映宏观经济中同比销售增长的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,商务部,尼尔森,欧睿Euromonitor	月/季	消费
商业数据库	消费数据库	消费行为数据库			需求满足	消费端	定性数据	"1、查询xx品类的需求满足数据
2、查询xx人群的需求满足数据
3、查询xx地区的需求满足数据"	描述消费者需求满足相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	尼尔森,凯度消费者指数,欧睿Euromonitor,艾瑞咨询	季/年	消费行为
商业数据库	消费数据库	消费行为数据库			价值感知	消费端	定性数据	"1、查询xx品类的价值感知数据
2、查询xx人群的价值感知数据
3、查询xx地区的价值感知数据"	描述消费者价值感知相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	尼尔森,凯度消费者指数,欧睿Euromonitor,艾瑞咨询	季/年	消费行为
商业数据库	消费数据库	消费行为数据库			社会影响	消费端	定性数据	"1、查询xx品类的社会影响数据
2、查询xx人群的社会影响数据
3、查询xx地区的社会影响数据"	描述消费者社会影响相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	尼尔森,凯度消费者指数,欧睿Euromonitor,艾瑞咨询	季/年	消费行为
商业数据库	消费数据库	消费行为数据库			情感连接	消费端	定性数据	"1、查询xx品类的情感连接数据
2、查询xx人群的情感连接数据
3、查询xx地区的情感连接数据"	描述消费者情感连接相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	尼尔森,凯度消费者指数,欧睿Euromonitor,艾瑞咨询	季/年	消费行为
商业数据库	消费数据库	消费行为数据库			便利性	消费端	定性数据	"1、查询xx品类的便利性数据
2、查询xx人群的便利性数据
3、查询xx地区的便利性数据"	描述消费者便利性相关的行为和特征数据		品类-人群,品类-地区,人群-地区,时间序列	尼尔森,凯度消费者指数,欧睿Euromonitor,艾瑞咨询	季/年	消费行为
